4,12,1965,7.675781
4,13,3937,7.689453
4,14,7882,7.697266
4,15,15774,7.702148
4,16,31748,7.750977
4,17,63506,7.752197
4,18,128624,7.850586
4,19,260475,7.949066
4,20,522182,7.967865
4,21,1045115,7.973595
4,22,2104603,8.028423
4,23,4275212,8.154320
4,24,9715000,9.264946
4,25,20194236,9.629362
4,26,40462489,9.647009
4,27,80847164,9.637733
4,28,161477812,9.624828
5,12,979,7.648438
5,13,1965,7.675781
5,14,3938,7.691406
5,15,7889,7.704102
5,16,15893,7.760254
5,17,31794,7.762207
5,18,73148,8.929199
5,19,168701,10.296692
5,20,344178,10.503479
5,21,687495,10.490341
5,22,1369461,10.448158
5,23,2851661,10.878223
5,24,7996533,15.252176
5,25,17689882,16.870386
5,26,35587969,16.969666
5,27,71468227,17.039353
5,28,142731763,17.014952
6,12,486,7.593750
6,13,980,7.656250
6,14,1965,7.675781
6,15,3984,7.781250
6,16,13961,13.633789
6,17,27914,13.629883
6,18,64474,15.740723
6,19,154563,18.867554
6,20,315634,19.264771
6,21,630718,19.247986
6,22,1266913,19.331558
6,23,2660163,20.295433
6,24,7810855,29.796047
6,25,17370138,33.130909
6,26,34878553,33.262780
6,27,70039004,33.397200
6,28,140603598,33.522510
7,12,240,7.500000
7,13,486,7.593750
7,14,979,7.648438
7,15,1986,7.757812
7,16,7872,15.375000
7,17,14656,14.312500
7,18,34747,16.966309
7,19,86106,21.021973
7,20,176397,21.532837
7,21,352817,21.534241
7,22,718698,21.932922
7,23,1742196,26.583801
7,24,8754671,66.792839
7,25,20028380,76.402206
7,26,40215307,76.704611
7,27,80355243,76.632731
7,28,160817878,76.683940
8,12,116,7.250000
8,13,240,7.500000
8,14,486,7.593750
8,15,991,7.742188
8,16,3521,13.753906
8,17,6886,13.449219
8,18,22760,22.226562
8,19,67313,32.867676
8,20,139759,34.120850
8,21,279938,34.172119
8,22,569645,34.768372
8,23,1403088,42.818848
8,24,7422681,113.261124
8,25,17210208,131.303467
8,26,34466232,131.478241
8,27,68931662,131.476711
8,28,137816525,131.432080
9,12,55,6.875000
9,13,116,7.250000
9,14,240,7.500000
9,15,489,7.640625
9,16,1755,13.710938
9,17,3501,13.675781
9,18,11299,22.068359
9,19,36270,35.419922
9,20,75495,36.862793
9,21,151197,36.913330
9,22,309636,37.797363
9,23,764867,46.683777
9,24,4283878,130.733582
9,25,10214604,155.862488
9,26,20448349,156.008522
9,27,40792025,155.609226
9,28,81513035,155.473776
10,12,24,6.000000
10,13,55,6.875000
10,14,116,7.250000
10,15,242,7.562500
10,16,890,13.906250
10,17,1811,14.148438
10,18,5756,22.484375
10,19,21214,41.433594
10,20,44323,43.284180
10,21,88898,43.407227
10,22,186613,45.559814
10,23,458640,55.986328
10,24,2586699,157.879578
10,25,6252420,190.808716
10,26,12491676,190.607849
10,27,24961784,190.443298
10,28,49902002,190.361031
11,12,9,4.500000
11,13,24,6.000000
11,14,55,6.875000
11,15,120,7.500000
11,16,594,18.562500
11,17,1195,18.671875
11,18,4185,32.695312
11,19,13194,51.539062
11,20,27568,53.843750
11,21,55144,53.851562
11,22,118333,57.779785
11,23,290267,70.865967
11,24,1629346,198.894775
11,25,3926701,239.666809
11,26,7877279,240.395477
11,27,15890665,242.472305
11,28,31819985,242.767220
12,12,1,1.000000
12,13,9,4.500000
12,14,24,6.000000
12,15,55,6.875000
12,16,575,35.937500
12,17,1159,36.218750
12,18,2847,44.484375
12,19,8716,68.093750
12,20,18297,71.472656
12,21,36603,71.490234
12,22,73391,71.670898
12,23,175186,85.540039
12,24,917993,224.119385
12,25,2210038,269.780029
12,26,4418554,269.687134
12,27,8806859,268.764008
12,28,17578936,268.233276
13,13,1,1.000000
13,14,9,4.500000
13,15,24,6.000000
13,16,55,6.875000
13,17,575,35.937500
13,18,1149,35.906250
13,19,2786,43.531250
13,20,9138,71.390625
13,21,18297,71.472656
13,22,36738,71.753906
13,23,73479,71.756836
13,24,173742,84.834961
13,25,914356,223.231445
13,26,2216965,270.625610
13,27,4437162,270.822876
13,28,8862107,270.450043
